Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
RB_THIGH,-0.020495,0.00899,-0.083041,0,0,0,1.3913,0.0013995,0.00092923,-2.6386E-05,0.0024811,1.1574E-05,0.0034735,0,0,0,0,0,0,package://4090_3.0_new.SLDASM/meshes/RB_THIGH.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://4090_3.0_new.SLDASM/meshes/RB_THIGH.STL,,装配体7^4090六足3.0-1,RB_1_CO,RB_1_AXIS,RB_HFE,revolute,-0.09,0.0945,0.1537,-1.5708,0,0,RB_HIP,0,0,1,0,0,0,0,,,,,,,,
RB_SHANK,-0.001255,-0.10733,-0.011117,0,0,0,0.57767,0.0044965,-4.9108E-05,-4.438E-08,6.7005E-05,-2.4174E-06,0.0045207,0,0,0,0,0,0,package://4090_3.0_new.SLDASM/meshes/RB_SHANK.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://4090_3.0_new.SLDASM/meshes/RB_SHANK.STL,,小腿2.0-4,RB_2_CO,RB_2_AXIS,RB_KFE,revolute,-0.1782,0.090798,-0.0835,0,0,0,RB_THIGH,0,0,1,0,0,0,0,,,,,,,,
RB_FOOT,-0.0027166,0.018832,-0.00025045,0,0,0,0.065235,1.2151E-05,8.4571E-08,3.0176E-08,1.3206E-05,9.4872E-08,1.4307E-05,0,0,0,0,0,0,package://4090_3.0_new.SLDASM/meshes/RB_FOOT.STL,0.50196,0.50196,0.75294,1,0,0,0,0,0,0,package://4090_3.0_new.SLDASM/meshes/RB_FOOT.STL,,足底1.1-4,RB_FOOT_CO,Axis_RB_FIX,RB_FIX,fixed,0.00127538595661916,-0.299275949540744,-0.0108926377664305,0,0,0,RB_SHANK,0,0,0,,,,,,,,,,,,
LF_HIP,-0.02841,-0.0013383,-0.10482,0,0,0,1.1161,0.0013596,-3.0608E-05,-0.00022242,0.0021096,-1.3892E-05,0.0016645,0,0,0,0,0,0,package://4090_3.0_new.SLDASM/meshes/LF_HIP.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://4090_3.0_new.SLDASM/meshes/LF_HIP.STL,,装配体12^4090六足3.0-1,LF_0_CO,LF_0_AXIS,LF_HAA,revolute,0.45,0.099997,-0.1105,0,0,-1.5708,BASE,0,0,1,0,0,0,0,,,,,,,,
LF_THIGH,-0.028479,0.012492,0.080989,0,0,0,1.0012,0.0010478,0.00092923,-2.6386E-05,0.0021293,1.1574E-05,0.0028121,0,0,0,0,0,0,package://4090_3.0_new.SLDASM/meshes/LF_THIGH.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://4090_3.0_new.SLDASM/meshes/LF_THIGH.STL,,装配体13^4090六足3.0-1,LF_1_CO,LF_1_AXIS,LF_HFE,revolute,-0.09,0.0795,-0.154,1.5708,0,0,LF_HIP,0,0,1,0,0,0,0,,,,,,,,
LF_SHANK,-0.001255,-0.10733,0.010883,0,0,0,0.57767,0.0044965,-4.9108E-05,-4.438E-08,6.7005E-05,-2.4174E-06,0.0045207,0,0,0,0,0,0,package://4090_3.0_new.SLDASM/meshes/LF_SHANK.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://4090_3.0_new.SLDASM/meshes/LF_SHANK.STL,,小腿2.0-7,LF_2_CO,LF_2_AXIS,LF_KFE,revolute,-0.1782,0.090798,0.0685,0,0,0,LF_THIGH,0,0,1,0,0,0,0,,,,,,,,
LF_FOOT,0.00271656736681969,0.0188315943234567,0.00025042343045889,0,0,0,0.0652349946450809,1.21513086039564E-05,-8.45642904110765E-08,3.01642816343835E-08,1.32056141029123E-05,-9.48605110233145E-08,1.43072682919343E-05,0,0,0,0,0,0,package://4090_3.0_new.SLDASM/meshes/LF_FOOT.STL,0.501960784313725,0.501960784313725,0.752941176470588,1,0,0,0,0,0,0,package://4090_3.0_new.SLDASM/meshes/LF_FOOT.STL,,足底1.1-7,LF_FOOT_CO,Axis_LF_FIX,LF_FIX,fixed,0.00127538595661936,-0.299275949540744,0.0111073622335695,3.14159265358979,0,3.14159265358979,LF_SHANK,0,0,0,,,,,,,,,,,,
LM_HIP,-0.02841,-0.0013383,-0.10482,0,0,0,1.1161,0.0013596,-3.0609E-05,-0.00022242,0.0021096,-1.3892E-05,0.0016645,0,0,0,0,0,0,package://4090_3.0_new.SLDASM/meshes/LM_HIP.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://4090_3.0_new.SLDASM/meshes/LM_HIP.STL,,装配体10^4090六足3.0-1,LM_0_CO,LM_0_AXIS,LM_HAA,revolute,0,0.2,-0.1105,0,0,-1.5708,BASE,0,0,1,0,0,0,0,,,,,,,,
LM_THIGH,-0.028479,0.012492,0.080989,0,0,0,1.0012,0.0010478,0.00092923,-2.6386E-05,0.0021293,1.1574E-05,0.0028121,0,0,0,0,0,0,package://4090_3.0_new.SLDASM/meshes/LM_THIGH.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://4090_3.0_new.SLDASM/meshes/LM_THIGH.STL,,装配体11^4090六足3.0-1,LM_1_CO,LM_1_AXIS,LM_HFE,revolute,-0.09,0.0795,-0.154,1.5708,0,0,LM_HIP,0,0,1,0,0,0,0,,,,,,,,
LM_SHANK,-0.001255,-0.10733,0.010883,0,0,0,0.57767,0.0044965,-4.9108E-05,-4.438E-08,6.7005E-05,-2.4174E-06,0.0045207,0,0,0,0,0,0,package://4090_3.0_new.SLDASM/meshes/LM_SHANK.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://4090_3.0_new.SLDASM/meshes/LM_SHANK.STL,,小腿2.0-6,LM_2_CO,LM_2_AXIS,LM_KFE,revolute,-0.1782,0.090798,0.0685,0,0,0,LM_THIGH,0,0,1,0,0,0,0,,,,,,,,
LM_FOOT,0.0027166,0.018832,0.00025041,0,0,0,0.065235,1.2151E-05,-8.4562E-08,3.0162E-08,1.3206E-05,-9.4852E-08,1.4307E-05,0,0,0,0,0,0,package://4090_3.0_new.SLDASM/meshes/LM_FOOT.STL,0.50196,0.50196,0.75294,1,0,0,0,0,0,0,package://4090_3.0_new.SLDASM/meshes/LM_FOOT.STL,,足底1.1-6,LM_FOOT_CO,,LM_FIX,fixed,0.0012754,-0.29928,0.011107,3.1416,0,3.1416,LM_SHANK,0,0,0,,,,,,,,,,,,
LB_HIP,-0.02841,0.0013389,-0.10482,0,0,0,1.1161,0.0013596,3.06E-05,-0.00022242,0.0021096,1.3892E-05,0.0016645,0,0,0,0,0,0,package://4090_3.0_new.SLDASM/meshes/LB_HIP.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://4090_3.0_new.SLDASM/meshes/LB_HIP.STL,,装配体8^4090六足3.0-1,LB_0_CO,LB_0_AXIS,LB_HAA,revolute,-0.45,0.099997,-0.1105,0,0,-1.5708,BASE,0,0,1,0,0,0,0,,,,,,,,
LB_THIGH,-0.028479,0.012492,0.093011,0,0,0,1.0012,0.0010478,0.00092923,2.6386E-05,0.0021293,-1.1574E-05,0.0028121,0,0,0,0,0,0,package://4090_3.0_new.SLDASM/meshes/LB_THIGH.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://4090_3.0_new.SLDASM/meshes/LB_THIGH.STL,,装配体9^4090六足3.0-1,LB_1_CO,LB_1_AXIS,LB_HFE,revolute,-0.09,0.0945,-0.154,1.5708,0,0,LB_HIP,0,0,1,0,0,0,0,,,,,,,,
LB_SHANK,-0.0012227,-0.10733,0.011117,0,0,0,0.57767,0.0044964,-5.3153E-05,1.1428E-08,6.7098E-05,2.4178E-06,0.0045207,0,0,0,0,0,0,package://4090_3.0_new.SLDASM/meshes/LB_SHANK.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://4090_3.0_new.SLDASM/meshes/LB_SHANK.STL,,小腿2.0-5,LB_2_CO,LB_2_AXIS,LB_KFE,revolute,-0.1782,0.090798,0.0835,0,0,0,LB_THIGH,0,0,1,0,0,0,0,,,,,,,,
LB_FOOT,-0.0031505,0.018764,-0.00025041,0,0,0,0.065235,1.2148E-05,6.015E-08,2.7952E-08,1.3209E-05,9.5546E-08,1.4307E-05,0,0,0,0,0,0,package://4090_3.0_new.SLDASM/meshes/LB_FOOT.STL,0.50196,0.50196,0.75294,1,0,0,0,0,0,0,package://4090_3.0_new.SLDASM/meshes/LB_FOOT.STL,,足底1.1-5,LB_FOOT_CO,,LB_FIX,fixed,-0.0081826,-0.29917,0.010893,3.1416,0,3.1416,LB_SHANK,0,0,0,,,,,,,,,,,,
